# ra dec dm_bonsai
241.668349 57.718955 292.026595
245.696277 39.227950 944.418627
353.822337 42.230956 662.032846
179.895699 53.697918 644.320019
53.508429 28.653284 188.463553
208.252305 48.255018 193.065130
315.794224 25.707033 439.424787
266.020751 86.706553 576.271546
8.831156 79.249785 347.356511
76.181691 44.248701 1065.075770
276.676396 81.400920 249.019480
239.396724 61.875546 1391.898405
12.271965 34.314862 556.450607
29.795530 65.729842 151.086712
131.644455 47.446097 327.710868
278.981028 59.429377 1236.893519
343.971484 18.267314 1740.072415
29.336126 65.729843 150.534238
29.277267 65.728423 150.552060
226.478352 85.439464 415.148581
35.809881 46.123557 132.264359
276.494877 81.399114 249.244663
133.794403 42.000692 795.622550
149.362818 80.352518 594.705396
64.688072 42.283491 283.763661
113.017680 81.226502 682.882056
283.649528 85.738399 370.878438
333.210236 17.373806 346.290730
169.702401 85.506629 631.718811
13.327637 15.052445 138.625108
317.997406 22.711861 524.680049
185.326266 72.104722 805.847475
76.510007 80.123425 363.346864
113.128016 27.090578 616.871633
215.093588 85.437129 634.755430
102.980357 18.401927 1494.453238
162.840560 61.529953 504.670861
172.505251 50.590036 1558.903414
245.494185 11.858443 1032.008027
339.730486 59.338813 796.809831
358.437332 22.246303 501.230258
27.711342 53.492984 633.285537
215.979204 51.349075 465.696102
107.427267 83.704714 220.667563
37.890409 22.544423 322.698575
191.906070 21.159954 366.819175
218.558437 75.064389 1301.513498
349.363523 69.375184 781.349652
133.139234 8.377986 917.832885
12.723215 59.737791 931.941570
69.695725 6.695850 321.739559
219.027489 15.241712 1349.610900
291.353376 1.177260 285.381115
47.338471 62.706069 515.992825
210.051041 48.251811 191.996789
273.412481 55.527620 834.262651
